"Book Number","Title","Author","Description","Publisher","ISBN","PRICE USED","PRICE NEW","BOX NUMBER","No. of Pages","KEEP","SELL","Notes",
1,"Action English Pictures","Noriko Takahashi & Maxine Frauman-Prickel","Activities for Total Physical Response","Alemany Press","0-88084-212-1",,,1,110,,,,
2,"The Count of Monte Cristo","Alexandre Dumas Adapted by Steven Grant and Dan Spiegle","Classics Illustrated","Berkley/First Publishing","0-425-12028-7",,,1,44,,,,
3,"A Christman Carol","Charles Dickens adapted by Joe Staton","Classics Illustrated","Berkley/First Publishing","0-425-12334-0",,,1,44,,,,
4,"Treasure Island","Robert Louis Stevenson adapted by Pat Boyette","Classics Illustrated","Berkley/First Publishing","0-425-12335-9",,,1,44,,,,
5,"Beauty and the Beast","Bobby JG Weiss adapted by Colleen Doran and Dave Hunt","Disney's Cartoon Tales/A tale of Enchantment","W.D. Publications, Inc.","1-56115-267-6",,,1,48,,,,
6,"Aesop's Fables","adapted by Eric Vincent","Classics Illustrated","First Publishing","0-915419-73-4",,,1,44,,,,
7,"Grandes Esperancas","Charles Dickens adapted by Rick Geary","Classics Illustrated","Berkley/First Publishing","None",,,1,44,,,,
8,"Wuthering Heights","Emily Bronte adapted by Rick Geary","Classics Illustrated","Berkley/First Publishing","0-425-12259-X",,,1,44,,,,
9,"Robinsoe Crusoe","Daniel Defoe adapted by Sam Wray and Pat Boyette","Classics Illustrated","Berkley/First Publishing","0-425-12664-1",,,1,44,,,,
10,"Great Expectations","Charles Dickens adapted by Rick Geary","Classics Illustrated","Berkley/First Publishing","0-425-12021-X",,,1,44,,,,
11,"The Adventures of Tom Sawyer","Mark Twain adapted by Michael Ploog","Classics Illustrated","Berkley/First Publishing","0-425-11241-7",,,1,44,,,,
12,"The Devil's Dictionary and other works","Ambrose Bierce adapted by Gahan Wilson","Classics Illustrated","Berkley/First Publishing","0-425-12523-8",,,1,44,,,,
13,"The Call of the Wild","Jack London adapted by  Charles Dixon and Ricardo Villagran","Classics Illustrated","Berkley/First Publishing","0-425-12030-9",,,1,44,,,,
14,"Ivanhoe","Sir Walter Scott adapted by Mark Wayne Harris and Ray Lago","Classics Illustrated","Berkley/First Publishing","0-425-12526-2",,,1,44,,,,
15,"The Jungle Books","Rudyard Kipling adapted by Jeffrey Busch","Classics Illustrated","Berkley/First Publishing","0-425-12762-1",,,1,44,,,,
16,"Two Years Before the Mast","R.H. Dana, JR. adapted by Elaine Kim","Regents Illustrated Classics","Regents Publishing Company, Inc.","0-88345-482-3",,,1,62,,,,
17,"The Prince and the Pauper","Sir Walter Scott adapted by Mark Wayne Harris and Ray Lago","Regents Illustrated Classics","Prentice Hall Regents","0-13-703027-4",,,1,62,,,,
18,"The Flayed Hand & Other Famous Mysteries","adapted by Elaine Kim","Regents Illustrated Classics","Ao Livro Tecnico S/A Industria e Comercio","85-215-0166-8",,,1,62,,,,
19,"Moby Dick","Herman Melville adapted by Elaine Kim","Regents Illustrated Classics","Regents Publishing Company, Inc.","0-88345-463-7",,,1,62,,,,
20,"The Moonstone","William Wilkie Collins","Regents Illustrated Classics","Regents Publishing Company, Inc.","0-88345-474-2",,,1,62,,,,
21,"Robin Hood","adapted by Elaine Kim","Regents Illustrated Classics","Prentice Hall Regents","0-13-781923-4",,,1,62,,,,
22,"Huckleberry Finn","Mark Twain adapted by Elaine Kim","Regents Illustrated Classics","Regents Publishing Company, Inc.","0-88345-464-5",,,1,62,,,,
23,"Treasure Island","Robert Louis Stevenson adapted by Elaine Kim","Regents Illustrated Classics","Prentice Hall Regents","0-13-930629-3",,,1,62,,,,
24,"The Last of the Mohicans","James Fenimore Cooper","Regents Illustrated Classics","Regents Publishing Company, Inc.","0-88345-480-7",,,1,62,,,,
25,"Treasure Island","Robert Louis Stevenson adapted by Elaine Kim","Regents Illustrated Classics","Regents Publishing Company, Inc.","0-88345-481-5",,,1,62,,,,
26,"Robin Hood","adapted by Elaine Kim","Regents Illustrated Classics","Prentice Hall Regents","0-88345-473-4",,,1,62,,,,
27,"A Connecticut Yankee in King Arthur's Court","Mark Twain adapted by Elaine Kim","Regents Illustrated Classics","Regents Publishing Company, Inc.","0-88345-478-5",,,1,62,,,,
28,"The Flayed Hand & Other Famous Mysteries","adapted by Elaine Kim","Regents Illustrated Classics","Regents Publishing Company, Inc.","0-88345-471-8",,,1,62,,,,
29,"The Flayed Hand & Other Famous Mysteries","adapted by Elaine Kim","Regents Illustrated Classics","Ao Livro Tecnico S/A Industria e Comercio","85-215-0166-8",,,1,62,,,,
30,"Huckleberry Finn","Mark Twain adapted by Elaine Kim","Regents Illustrated Classics","Prentice Hall Regents","0-13-444605-4",,,1,62,,,,
31,"Huckleberry Finn","Mark Twain adapted by Elaine Kim","Regents Illustrated Classics","Regents Publishing Company, Inc.","0-88345-464-5",,,1,62,,,,
32,"Huckleberry Finn","Mark Twain adapted by Elaine Kim","Regents Illustrated Classics","Regents Publishing Company, Inc.","0-88345-464-5",,,1,62,,,,
33,"Huckleberry Finn","Mark Twain adapted by Elaine Kim","Regents Illustrated Classics","Regents Publishing Company, Inc.","0-88345-464-5",,,1,62,,,,
34,"Dr. Jekyll and Mr. Hyde","Robert Louis Stevenson adapted by Elaine Kim","Regents Illustrated Classics","Ao Livro Tecnico S/A Industria e Comercio","85-215-0113-7",,,1,62,,,,
35,"Dr. Jekyll and Mr. Hyde","Robert Louis Stevenson adapted by Elaine Kim","Regents Illustrated Classics","Ao Livro Tecnico S/A Industria e Comercio","85-215-0113-7",,,1,62,,,,
36,"Dr. Jekyll and Mr. Hyde","Robert Louis Stevenson adapted by Elaine Kim","Regents Illustrated Classics","Regents Publishing Company, Inc.","0-88345-465-3",,,1,62,,,,
37,"Dr. Jekyll and Mr. Hyde","Robert Louis Stevenson adapted by Elaine Kim","Regents Illustrated Classics","Regents Publishing Company, Inc.","0-88345-465-3",,,1,62,,,,
38,"The Moonstone","William Wilkie Collins","Regents Illustrated Classics","Regents Publishing Company, Inc.","0-88345-474-2",,,1,62,,,,
39,"The Moonstone","William Wilkie Collins","Regents Illustrated Classics","Regents Publishing Company, Inc.","0-88345-474-2",,,1,62,,,,
40,"Gulliver's Travels","Jonathan Swift","Regents Illustrated Classics","Regents Publishing Company, Inc.","0-88345-477-7",,,1,62,,,,
41,"Gulliver's Travels","Jonathan Swift","Regents Illustrated Classics","Regents Publishing Company, Inc.","0-88345-477-7",,,1,62,,,,
42,"Robinson Crusoe","Daniel Defoe adapted by Elaine Kim","Regents Illustrated Classics","Regents Publishing Company, Inc.","0-88345-469-6",,,1,62,,,,
43,"Robin Hood ","adapted by Elaine Kim","Regents Illustrated Classics","Ao Livro Tecnico S/A Industria e Comercio","85-215-0164-1",,,1,62,,,,
44,"Robin Hood","adapted by Elaine Kim","Regents Illustrated Classics","Regents Publishing Company, Inc.","0-88345-473-4",,,1,62,,,,
45,"The Hunchback of Notredame","Victor Hugo","Regents Illustrated Classics","Ao Livro Tecnico S/A Industria e Comercio","85-215-0114-5",,,1,62,,,,
46,"Dr. Jekyll and Mr. Hyde","Robert Louis Stevenson adapted by Elaine Kim","Regents Illustrated Classics","Ao Livro Tecnico S/A Industria e Comercio","85-215-0113-7",,,1,62,,,,
47,"Robinson Crusoe","Daniel Defoe adapted by Elaine Kim","Regents Illustrated Classics","Prentice Hall Regents","0-13-781931-5",,,1,62,,,,
48,"Frankenstein","Mary Shelley","Regents Illustrated Classics","Regents Publishing Company, Inc.","0-88345-467-X",,,1,62,,,,
49,"The Hunchback of Notredame","Victor Hugo","Regents Illustrated Classics","Prentice Hall Regents","0-13-448085-6",,,1,62,,,,
50,"Huckleberry Finn","Mark Twain adapted by Elaine Kim","Regents Illustrated Classics","Ao Livro Tecnico S/A Industria e Comercio","85-215-0112-9",,,1,62,,,,
51,"Frankenstein","Mary W. Shelley","Regents Illustrated Classics","Ao Livro Tecnico S/A Industria e Comercio","85-215-0165-X",,,1,62,,,,
52,"Frankenstein","Mary Shelley","Regents Illustrated Classics","Ao Livro Tecnico S/A Industria e Comercio","85-215-0165-X",,,1,62,,,,
53,"Frankenstein","Mary W. Shelley","Regents Illustrated Classics","Regents Publishing Company, Inc.","0-88346-467-X",,,1,62,,,,
54,"The Last of the Mohicans","James Fenimore Cooper","Regents Illustrated Classics","Regents Publishing Company, Inc.","0-88345-480-7",,,1,62,,,,
55,"Moby Dick","Herman Melville adapted by Elaine Kim","Regents Illustrated Classics","Regents Publishing Company, Inc.","0-88345-463-7",,,1,62,,,,
56,"Robinsoe Crusoe","Daniel Defoe adapted by Elaine Kim","Regents Illustrated Classics","Regents Publishing Company, Inc.","0-88345-469-6",,,1,62,,,,
57,"The Hunchback of Notredame","Victor Hugo","Regents Illustrated Classics","Ao Livro Tecnico S/A Industria e Comercio","85-215-0114-5",,,1,62,,,,
58,"The Count of Monte Cristo","Alexandre Dumas adapted by Elaine Kim","Regents Illustrated Classics","Regents Publishing Company, Inc.","0-88345-472-6",,,1,62,,,,
59,"Robin Hood ","adapted by Elaine Kim","Regents Illustrated Classics","Ao Livro Tecnico S/A Industria e Comercio","85-215-0164-1",,,1,62,,,,
60,"Robin Hood ","adapted by Elaine Kim","Regents Illustrated Classics","Ao Livro Tecnico S/A Industria e Comercio","85-215-0164-1",,,1,62,,,,
61,"Frankenstein","Mary Shelley","Regents Illustrated Classics","Ao Livro Tecnico S/A Industria e Comercio","85-215-0165-X",,,1,62,,,,
62,"The Hunchback of Notredame","Victor Hugo","Regents Illustrated Classics","Ao Livro Tecnico S/A Industria e Comercio","85-215-0114-5",,,1,62,,,,
63,"The Three Musketeers","Alexandre Dumas Adapted Elaine Kim","Regents Illustrated Classics","Prentice Hall Regents","0-13-920463-6",,,1,62,,,,
64,"The Flayed Hand & Other Famous Mysteries","adapted by Elaine Kim","Regents Illustrated Classics","Prentice Hall Regents","0-13-322249-7",,,1,62,,,,
65,"Oliver Twist","Charles Dickens adapted by Elaine Kim","Regents Illustrated Classics","Regents Publishing Company, Inc.","0-88345-466-1",,,1,62,,,,
66,"Sea Wolf","Jack London adapted by Elaine Kim","Regents Illustrated Classics","Regents Publishing Company, Inc.","0-13-796798-5",,,1,62,,,,
67,"Huckleberry Finn","Mark Twain adapted by Elaine Kim","Regents Illustrated Classics","Regents Publishing Company, Inc.","0-88345-464-5",,,1,62,,,,
68,"O Conde de Monte Cristo","Alexandre Dumas","Classics Illustrated","Berkley/First Publishing","None",,,1,44,,,,
69,"Dr. Jekyll and Mr. Hyde","Robert Louis Stevenson illustrated byTudor Humphries","Longman Classics","Longman","0-582-01818-8",,,1,57,,,,
70,"The Count of Monte Cristo","Alexandre Dumas","Longman Classics","Longman","0-582-01820-X",,,1,74,,,,
71,"The Swiss Family Robinson","Johann Wyss","Longman Classics","Longman","0-582-54157-3",,,1,74,,,,
72,"The Adventures of Huckleberry Finn","Mark Twain Illustrated by Chris Molan","Longman Classics","Longman","0-582-03585-6",,,1,72,,,,
73,"Five Famous Fairy Tales","Illustrated by Gwen Tourret","Longman Classics","Longman","0-582-03510-4",,,1,58,,,,
74,"Black Beauty","Anna Sewell illustrated by Victor Ambrus","Longman Classics","Longman","0-582-54145-X",,,1,58,,,,
75,"Alice in Wonderland","Lewis Carroll","Longman Classics","Longman","0-582-52278-1",,,1,56,,,,
76,"A Tale of Two Cities","Charles Dickens ","Longman Classics","Longman","0-582-03047-1",,,1,73,,,,
77,"Tales from the Arabian Nights","illustrated by Per Dahlberg","Longman Classics","Longman","0-582-54151-4",,,1,73,,,,
78,"The Three Musketeers","Alexandre Dumas simplified by D K Swan","Longman Classics","Longman","0-582-01384-4",,,1,58,,,,
79,"King Arthur and the Knights of the Round Table","Illustrated by John James","Longman Classics","Longman","0-582-03509-0",,,1,42,,,,
80,"Heidi","Johanna Spyri","Longman Classics","Longman","0-582-01815-3",,,1,58,,,,
81,"Robin Hood","Illustrated by Chris Ryley","Longman Classics","Longman","0-582-52287-0",,,1,57,,,,
82,"King Solomon's Mines","Sir H Rider Haggard","Longman Classics","Longman","0-582-01821-8",,,1,74,,,,
83,"Tales from the Arabian Nights","Illustrated by Per Dahlberg","Longman Classics","Longman","0-582-54151-4",,,1,73,,,,
84,"The Jungle Book ","Rudyard Kipling   ","Longman Classics","Longman","0-582-03587-2",,,1,58,,,,
85,"The Canterbury Tales","Geoffrey Chaucer","Longman Classics","Longman","0-582-54150-6",,,1,74,,,,
86,"Adventures of Sinbad the Sailor","Illustrated by Andrew Brown","Longman Classics","Longman","0-582-54148-4",,,1,57,,,,
87,"King Solomon's Mines","Sir H Rider Haggard","Longman Classics","Longman","0-582-01821-8",,,1,74,,,,
88,"A Christmas Carol","Charles Dickens","Longman Classics","Longman","0-582-01382-8",,,1,56,,,,
89,"The Prince and the Pauper","Mark Twain","Longman Classics","Longman","0-582-03508-2",,,1,57,,,,
90,"Round the World in Eighty Days","Jules Verne","Longman Classics","Longman","0-582-01817-X",,,1,58,,,,
91,"Lorna Doone","R.D. Blackmore","Longman Classics","Longman","0-582-01814-5",,,1,74,,,,
92,"Gulliver's Travels","Jonathan Swift","Longman Classics","Longman","0-582-52285-4",,,1,58,,,,
93,"Kidnapped","Robert Louis Stevenson  ","Longman Classics","Longman","0-582-01383-6",,,1,72,,,,
94,"Rip Van Winkle and other stories","Washington Irving","Longman Classics","Longman","0-582-03046-3",,,1,42,,,,
95,"The Count of Monte Cristo","Alexandre Dumas   ","Longman Classics","Longman","0-582-01820-X",,,1,74,,,,
96,"Pride and Prejudice","Jane Austen","Longman Classics","Longman","0-582-03045-5",,,1,74,,,,
97,"Dr Jekyll and Mr. Hyde","Robert Louis Stevenson  ","Longman Classics","Longman","0-582-01818-8",,,1,57,,,,
98,"Robin Hood ","Illustrated by Chris Ryley","Longman Classics","Longman","0-582-52287-0",,,1,57,,,,
99,"Vanity Fair","William Thackeray","Longman Classics","Longman","0-582-01819-6",,,1,74,,,,
100,"Nosferatu","none","Comic Book","Tome Press","1055-4823",,,1,16,,,,
101,"Detectives from Scotland Yard","LG Alexander","Longman Structural Readers Stage 1","Longman","0-582-53704-5",,,1,16,,,,
102,"David Copperfield","Charles Dickens","Book-Level 3 Vocabulary Range 1000 words","Collins English Library","0-00-370084-4",,,1,96,,,,
103,"Have you got your ticket","Ian Serraillier","Longman Structural Readers Stage 2","Longman","0-582-53727-4",,,1,32,,,,
104,"Hard Times","Charles Dickens ","Book  ","Collins English Library","0-00-370121-2",,,1,127,,,,
105,"English Point","Eliana, Maria Clara, Neuza","Book 2o Grau","Saraiva","None",,,1,183,,,,
106,"Have you got your ticket","Ian Serraillier","Longman Structural Readers Stage 2","Longman","0-582-53727-4",,,1,32,,,,
107,"Simon and the Spy","Elizabeth Laird","Easy Starts","Longman","0-582-04611-4",,,1,16,,,,
108,"The Prisoners","Donn Byrne","Longman Structural Readers Stage 1","Longman","0-582-53701-0",,,1,16,,,,
109,"The Flying Spy","Alwyn Cox","Longman Structural Readers Stage 1","Longman","0-582-53709-6",,,1,16,,,,
110,"On the Road","Donn Byrne","Longman Structural Readers Stage 2","Longman","0-582-53716-9",,,1,32,,,,
111,"My dear Aunt and a morning in London","Donn Byrne","Longman Structural Readers stage 2","Longman","0-582-53725-8",,,1,72,,,,
112,"The Sheriff","Robert O'Neill","Longman Structural Readers Stage 1","Longman","0-582-52518-7",,,1,16,,,,
113,"The Sheriff","Robert O'Neill","Longman Structural Readers Stage 1","Longman","0-582-52518-7",,,1,16,,,,
114,"Amadeus Marques A Love Lesson","Amadeus Marques","Road Series","Editora Atica","85-08-03969-7",,,1,32,,,,
115,"Amadeus Marques English Book 3","Amadeus Marques","Book  ","Editora Atica","85-08-05493-9",,,1,208,,,,
116,"Thirty Nine steps","none","Longman MovieWorld easy reading edition","Longman","0-582-53046-6",,,1,31,,,,
117,"New York New York","Ingrid Freebairn","Galaxies/book","Longman","0-582-52974-3",,,1,32,,,,
118,"English for Travel","John EastWood","Teacher's Guide","Oxford University Press","0-19-451304-1",,,1,61,,,,
119,"The Troy Stone","Stephen Rabley","Easy Starts","Longman","0-582-04598-3",,,1,16,,,,
120,"Amadeus Marques The Final Test","none","Road Series","Editora Atica","85-08-03965-4",,,1,32,,,,
121,"The Prisoners","Donn Byrne","Longman Structural Readers Stage 1","Longman","0-582-53701-0",,,1,16,,,,
122,"Dino's day in London","Stephen Rabley","Easy Starts","Longman","0-582-03146-X",,,1,16,,,,
123,"The Troy Stone","Stephen Rabley","Easy Starts","Longman","0-582-04598-3",,,1,16,,,,
124,"Sherlock Holmes and The Dancing Men","A Conan Doyle- DK Swan","Fiction Longman Structural Readers Stage 1","Longman","0-582-53677-4",,,1,16,,,,
125,"On the Road","Donn Byrne","Longman Structural Readers Stage 2","Longman","0-582-53716-9",,,1,32,,,,
126,"Robin Hood ","Jones, Truman, Schenck","Comic Book","Eclipse Books","None",,,1,28,,,,
127,"The Sheriff","Robert O'Neill","Longman Structural Readers Stage 1","Longman","0-582-52518-7",,,1,16,,,,
128,"Moby Dick","Herman Melville adapted by Elaine Kim","Regents Illustrated Classics","Longman","0-88345-463-7",,,1,62,,,,
129,"What's the Story","Linda Markstein/Dorien GrunBaum","Sequential Photographs for Language Practice Student's Book 3","Longman","0-582-79785-3",,,1,54,,,,
130,"What's the Story","Linda Markstein/Dorien GrunBaum","Sequential Photographs for Language Practice Student's Book 2","Longman","0-582-79784-5",,,1,50,,,,
131,"The Eagle Has Landed","Jack Higgins","Book  ","Colllins English Library","0-00-370122-0",,,1,112,,,,
132,"The Flying Spy","Alwyn Cox","Longman Structural Readers Stage 1","Longman","0-582-53709-6",,,1,16,,,,
133,"The Prisoners","Donn Byrne","Longman Structural Readers Stage 1","Longman","0-582-53701-0",,,1,16,,,,
134,"Car Thieves","LG Alexander","Longman Structural Readers Stage 1","Longman","0-582-53705-3",,,1,16,,,,
135,"Tinkers Island","Stephen Rabley","Easy Starts","Longman","0-582-03149-4",,,1,16,,,,
136,"Hostage Tower","John Denis","Book  ","Collins English Library","0-00-370159-X",,,1,64,,,,
137,"Dr. Jekyll and Mr. Hyde","R L Stevenson","Book  ","Collins English Library","0-00-370085-2",,,1,64,,,,
138,"The Story of Macbeth from Shakespeare","none","Book  ","Collins English Library","0-00-370123-9",,,1,32,,,,
139,"The Adventures of Huckleberry Finn","Mark Twain ","Book  ","Longman","0-582-52824-0",,,1,109,,,,
140,"Wuthering Heights","Emily Bronte adapted by Rick Geary","Book  ","Collins English Library","0-00-370086-0",,,1,119,,,,
141,"In the Shadow of Man","Jane Goodall","Book  ","Collins English Library","0-00-370070-4",,,1,112,,,,
142,"Jane Eyre","Charlotte Bronte","Book  ","Collins English Library","0-00-370074-7/3-506-43243-5",,,1,95,,,,
143,"Three Sherlock Holmes Adventures","Sir Conan Doyle","Nelson Readers","Nelson","0-17-556431-0",,,1,48,,,,
144,"Inspector Thackeray Calls","Kenneth James and Lloyd Mullen","Book  ","Longman","0-582-53745-2",,,1,60,,,,
145,"The Machine Stops and other Stories","E.M. Forster","Book  ","Longman","0-582-53770-3",,,1,84,,,,
146,"Inspector Thackeray Calls","Kenneth James and Lloyd Mullen","Book  ","Longman","0-582-53745-2",,,1,60,,,,
147,"The Troy Stone","Stephen Rabley","Easy Starts","Longman","0-582-04598-3",,,1,16,,,,
148,"Tinkers Farm","Stephen Rabley","Easy Starts","Longman","0-582-04609-2",,,1,16,,,,
149,"Shakespeare Detective","S H Burton","Longman Structural Readers Stage 2","Longman","0-582-52836-4",,,1,44,,,,
150,"Operation Janus","LG Alexander","Longman Structural Readers Stage 1","Longman","0-582-53713-4",,,1,16,,,,
151,"Bush Fire and Hurricane Paula","Richard Musman","Fiction Longman Structural Readers Stage 5","Longman","0-582-53766-5",,,1,67,,,,
152,"Japanese Red and other stories","Lewis Jones","Longman Structural Readers Stage 2","Longman","0-582-52739-2",,,1,48,,,,
153,"The Battle of Newton Road","Leslie Dunkling","Longman Structural Readers Stage 1","Longman","0-582-53710-X",,,1,30,,,,
154,"It never snows in England","Peter Ferguson","Longman Structural Readers Stage 1","Longman","0-582-52614-0",,,1,16,,,,
155,"April in Moscow","Stephen Rabley","Easy Starts","Longman","0-582-06073-7",,,1,16,,,,
156,"Marcel and the White Star","Stephen Rabley","Easy Starts","Longman","0-582-04610-6",,,1,16,,,,
157,"Sherlock Holmes and The Dancing Men","A Conan Doyle- DK Swan","Longman Structural Readers Stage 1","Longman","0-58253677-4",,,1,16,,,"White out used",
158,"Inspector Thackeray Arrives","Kenneth James ","Longman Structural Readers Stage 2","Longman","0-582-53340-6",,,1,46,,,,
159,"Blue Moon Valley","Stephen Rabley","Easy Starts","Longman","0-582-04599-1",,,1,16,,,,
160,"Scotland","David Hill","Longman Structural Readers: Background","Longman","0-582-53346-5",,,1,48,,,,
161,"It never snows in England","Peter Ferguson","Longman Structural Readers Stage 1","Longman","0-582-52614-0",,,1,16,,,,
162,"Moby Dick","Herman Melville  ","Book  ","Longman","0-582-53418-6",,,1,68,,,,
163,"The Troy Stone","Stephen Rabley","Easy Starts","Longman","0-582-04598-3",,,1,16,,,,
164,"Inspector Thackeray Calls","Kenneth James and Lloyd Mullen","Plays Longman Structural Readers Stage 3","Longman","0-582-53745-2",,,1,60,,,,
165,"Inspector Holt-Cats in the Dark","John Tully","Book  ","Collins English Library","0-00-370131-X",,,1,32,,,,
166,"Dead man's River","Elizabeth Laird","Easy Starts","Longman","0-582-04612-2",,,1,16,,,,
167,"Simon and the Spy","Elizabeth Laird","Easy Starts","Longman","0-582-04611-4",,,1,16,,,,
168,"Flying Home","Stephen Rabley","Easy Starts","Longman","0-582-03151-6",,,1,16,,,,
169,"The Troy Stone","Stephen Rabley","Easy Starts","Longman","0-582-04598-3",,,1,16,,,,
170,"The Sheriff","Robert O'Neill","Longman Structural Readers Stage 1","Longman","0-582-52518-7",,,1,16,,,,
171,"Operation Janus","L G Alexander","Longman Structural Readers Stage 1","Longman","0-582-53713-4",,,1,16,,,,
172,"Tinkers Farm","Stephen Rabley","Easy Starts","Longman","0-582-04609-2",,,1,16,,,,
173,"On the Road","Donn Byrne","Longman Structural Readers Stage 2","Longman","0-582-53716-9",,,1,31,,,,
174,"Detectives from Scotland Yard","LG Alexander","Longman Structural Readers Stage 1","Longman","0-582-53704-5",,,1,16,,,,
175,"7 Sketches","Leslie Dunkling","Longman Structural Readers Stage 1","Longman","0-582-52515-2",,,1,20,,,,
176,"The house near the sea","Richard Musman","Longman Structural Readers Stage 1","Longman","0-582-53707-X",,,1,16,,,,
177,"Pop Festival","Ian Serraillier","Longman Structural Readers Stage 2","Longman","0-582-53714-2",,,1,32,,,,
176,"Green Island","Anthony Eyre","Longman Structural Readers Stage 1","Longman","0-582-53703-7",,,1,16,,,,
179,"April Fool's day","LG Alexander","Longman Structural Readers Stage 2","Longman","0-582-53719-3",,,1,31,,,,
180,"The Lost Love and other stories by Jan Carew","Jan Carew","Longman Structural Readers Stage 2","Longman","0-582-01382-8",,,1,28,,,,
181,"The Face on the Screen and other short stories ","Paul Victor","Longman Structural Readers Stage 2","Longman","0-582-53676-6",,,1,43,,,,
182,"Pele King of Football","Noel Machin","Longman Structural Readers Stage 1","Longman","0-582-52674-4",,,1,16,,,,
183,"Pele King of Football","Noel Machin","Longman Structural Readers Stage 1","Longman","0-582-52674-4",,,1,16,,,,
184,"The Mystery of the Loch Ness Monster","Leslie Dunkling","Longman Structural Readers Stage 1","Longman","0-582-52514-4",,,1,16,,,,
185,"The Battle of Newton Road","Leslie Dunkling","Longman Structural Readers Stage 1","Longman","0-582-53710-X",,,1,30,,,,
186,"Lisa in London","Paul Victor","Longman Structural Readers Stage 1","Longman","0-582-53347-3",,,1,16,,,,
187,"The Mystery of the Loch Ness Monster","Leslie Dunkling","Longman Structural Readers Stage 1","Longman","0-582-52514-4",,,1,16,,,,
188,"My dear Aunt and a morning in London","Donn Byrne","Longman Structural Readers Stage 2","Longman","0-582-53725-8",,,1,72,,,,
189,"7 Sketches","Leslie Dunkling","Longman Structural Readers Stage 1","Longman","0-582-52515-2",,,1,20,,,,
190,"Garry's First Season ","Alan C McLean","Longman Structural Readers: Fiction Stage 1","Longman","0-582-53688-X",,,1,16,,,,
191,"Elvis Presley King of Rock n' Roll","Jeremy Harmer","Longman Structural Readers Stage 1","Longman","0-582-53041-5",,,1,16,,,,
192,"Pele King of Football","Noel Machin","Longman Structural Readers Stage 1","Longman","0-582-52674-4",,,1,16,,,,
193,"Dino's day in London","Stephen Rabley","Easy Starts","Longman","0-582-03146-X",,,1,16,,,,
194,"The Prisoners","Donn Byrne","Longman Structural Readers Stage 1","Longman","0-582-53701-0",,,1,15,,,,
195,"Between Two Worlds","Stephen Rabley","Easy Starts","Longman","0-582-06074-5",,,1,16,,,,
196,"The Sheriff","Robert O'Neill","Longman Structural Readers Stage 1","Longman","0-582-52518-7",,,1,16,,,,
197,"The Last Photo","Bernard Smith","Easy Starts","Longman","0-582-03147-8",,,1,16,,,,
198,"The Storm","Richard Musman","Longman Structural Readers Stage 1","Longman","0-582-53679-0",,,1,16,,,,
199,"Worth a Fortune","LG Alexander","Longman Structural Readers Stage 2","Longman","0-582-53721-5",,,1,32,,,,
200,"April Fool's day","LG Alexander","Longman Structural Readers Stage 2 ","Longman","0-582-53719-3",,,1,32,,,,
201,"Insoector Thackeray Arrives","Kenneth James ","Longman Structural Readers Stage 2","Longman","0-582-53340-6",,,1,46,,,,
202,"Inspector Thackeray Arrives","Kenneth James ","Longman Structural Readers Stage 2","Longman","0-582-53340-6",,,1,46,,,,
203,"Seven one Act Plays","Donn Byrne","Longman Structural Readers Stage 3","Longman","0-582-53737-1",,,1,73,,,,
204,"London","Leslie Dunkling","Longman Structural Readers : Background Stage 1","Longman","0-582-74905-0",,,1,32,,,,
205,"The Fireboy","Stephen Rabley","Easy Starts","Longman","0-582-06072-9",,,1,16,,,,
206,"London","Leslie Dunkling","Longman Structural Readers: Background Stage 1","Longman","0-582-74905-0",,,1,32,,,,
207,"Blue Moon Valley","Stephen Rabley","Easy Starts","Longman","0-582-04599-1",,,1,16,,,,
208,"Kate and the Clock","Leslie Dunkling","Longman Structural Readers Stage 1","Longman","0-582-53708-8",,,1,16,,,,
209,"Garry's First Season ","Alan C McLean","Longman Structural Readers Stage 1","Longman","0-582-53688-X",,,1,16,,,,
210,"Double Fear and other stories","John Escott","Longman Structural Readers Stage 2","Longman","0-582-52786-4",,,1,45,,,,
211,"The Young Indiana Jones Chronicles The Mummy's Curse","No Author","Book  ","Random House New York","0-679-82774-9",,,1,120,,,,
212,"8 Ghost Stories","S.H. Burton","Longman Structural Readers Stage 4","Longman","0-582-54078-X",,,1,73,,,,
213,"Three Mystery Plays","Donn Byrne","Longman Structural Readers Stage 4","Longman","0-582-52700-7",,,1,52,,,,
214,"The Lost City of the Jedi Star Wars","Paul Davids and Hollace Davids","Book  ","Bantam Skylark","0-553-15888-0",,,1,98,,,,
215,"L'oreille Cassee","Herge","Tintin Book","Casterman","2-203-00105-4",,,2,62,,,,
216,"Tintin Au Congo","Herge","Tintin Book","Casterman","2-203-00101-1",,,2,62,,,,
217,"Le Temple Du Soleil","Herge","Tintin Book","Casterman","2-203-00113-5",,,2,62,,,,
218,"Muzzy Comes Back","No Author","Video Scripts","BBC English","1-85497-198-0",,,2,15,,,"Para vender",
219,"Tintim no pais do Ouro Negro","Herge","Tintin Book","Record","None",,,2,62,,,,
220,"Tintin Et Les Picaros","Herge","Tintin Book","Casterman","2-203-00123-2",,,2,62,,,,
221,"Vamos Aprender Japones","No Author","Basico I – Livro Texto","Apel Multimidia","None",,,2,187,,,,
222,"Bid For Power","A Fitzpatrick C St J Yates","English for Commerce and Industry","BBC English","1-85497-022-4",,,2,147,,,,
